Time	Measurement	Estimate
0.253	10.3961	10.8619
0.254	12.7219	11.5283
0.255	10.6176	11.202
0.256	11.8374	11.4296
0.257	10.9241	11.2485
0.258	10.7521	11.0707
0.259	10.4804	10.8592
0.26	11.4835	11.0829
0.261	9.98215	10.6885
0.262	11.6943	11.0488
0.263	10.8458	10.9761
0.264	13.4859	11.8753
0.265	11.6758	11.8038
0.266	11.7356	11.7794
0.267	11.2194	11.5788
0.268	12.8705	12.0415
0.269	12.1234	12.0709
0.27	11.5571	11.8868
0.271	11.8766	11.8832
0.272	12.7136	12.1807
0.273	13.3137	12.5866
0.274	12.0274	12.3862
0.275	9.24146	11.2596
0.276	12.2135	11.6013
0.277	14.1356	12.5092
0.278	14.0865	13.0743
0.279	12.8457	12.9924
0.28	13.0118	12.9993
0.281	15.0556	13.736
0.282	12.5353	13.3059
0.283	13.4341	13.3518
0.284	11.7727	12.7861
0.285	13.8769	13.1769
0.286	10.7896	12.3216
0.287	14.7272	13.1835
0.288	13.8004	13.4045
0.289	13.2193	13.3382
0.29	13.6721	13.4578
0.291	12.7365	13.1994
0.292	13.4288	13.2816
0.293	13.6225	13.4037
0.294	12.2549	12.9921
0.295	14.4831	13.5263
0.296	14.0448	13.712
0.297	14.8302	14.1126
0.298	13.0948	13.748
0.299	13.5487	13.6766
0.3	18.5248	15.4135
0.301	16.2143	15.7004
0.302	14.5476	15.2874
0.303	16.0124	15.5472
0.304	15.1314	15.3982
0.305	13.991	14.8941
0.306	15.2304	15.0146
0.307	14.7459	14.9183
0.308	15.1687	15.008
0.309	16.0566	15.3837
0.31	16.359	15.7331
0.311	17.0747	16.2138
0.312	17.4654	16.6622
0.313	15.7494	16.3352
0.314	17.7733	16.8504
0.315	17.5289	17.0935
0.316	17.3739	17.1939
0.317	18.0931	17.5161
0.318	17.1111	17.371
0.319	16.6451	17.1109
0.32	16.4381	16.8699
0.321	18.3594	17.4035
0.322	17.4412	17.417
0.323	17.8381	17.5679
0.324	16.7422	17.2721
0.325	19.4007	18.0347
0.326	17.2253	17.7447
0.327	17.0056	17.4799
0.328	17.6543	17.5424
0.329	17.3213	17.4632
0.33	19.1317	18.0609
0.331	18.0865	18.0701
0.332	17.282	17.7878
0.333	17.829	17.8025
0.334	17.8156	17.8072
0.335	19.1143	18.2755
0.336	17.9852	18.1715
0.337	18.6454	18.3413
0.338	18.5307	18.4092
0.339	19.1024	18.6575
0.34	19.7218	19.0388
0.341	20.9095	19.709
0.342	18.3153	19.2097
0.343	18.3449	18.8999
0.344	17.555	18.4181
0.345	19.3658	18.7576
0.346	19.6524	19.0782
0.347	17.1471	18.3863
0.348	22.2209	19.7601
0.349	20.7958	20.1312
0.35	20.4598	20.2489
0.351	22.8751	21.1897
0.352	20.7685	21.0388
0.353	18.0199	19.9573
0.354	22.934	21.0237
0.355	20.4157	20.8059
0.356	22.3849	21.3716
0.357	22.7371	21.8608
0.358	22.234	21.9945
0.359	20.2083	21.3546
0.36	21.8155	21.5197
0.361	22.2425	21.7786
0.362	24.1459	22.6267
0.363	21.8353	22.3432
0.364	23.2176	22.6564
0.365	21.9688	22.4101
0.366	22.5139	22.4473
0.367	22.7266	22.5473
0.368	22.7306	22.613
0.369	22.867	22.704
0.37	22.8697	22.7634
0.371	21.9822	22.4835
0.372	25.1631	23.4435
0.373	22.6399	23.1556
0.374	23.3185	23.214
0.375	25.2024	23.9263
0.376	23.2279	23.6761
0.377	23.0211	23.4415
0.378	24.7262	23.9017
0.379	22.6202	23.4426
0.38	24.7352	23.9057
0.381	24.4883	24.1144
0.382	25.1883	24.4991
0.383	23.0835	23.992
0.384	24.1199	24.0378
0.385	23.7469	23.9336
0.386	26.8873	24.9918
0.387	25.4559	25.158
0.388	24.0905	24.7756
0.389	25.536	25.048
0.39	25.2096	25.1059
0.391	26.7319	25.6884
0.392	26.0351	25.8126
0.393	26.8172	26.1725
0.394	26.37	26.2433
0.395	25.3017	25.9059
0.396	27.6004	26.513
0.397	24.4016	25.7566
0.398	27.9273	26.5342
0.399	26.2116	26.4187
0.4	27.4471	26.7871
0.401	26.565	26.7075
0.402	26.3286	26.5718
0.403	26.4668	26.5341
0.404	28.1709	27.1205
0.405	27.0751	27.1043
0.406	30.029	28.1521
0.407	28.5669	28.3007
0.408	28.9305	28.5263
0.409	30.2144	29.1311
0.41	27.104	28.4049
0.411	28.2586	28.3525
0.412	29.7223	28.8432
0.413	27.706	28.4358
0.414	30.0742	29.0228
0.415	29.659	29.2507
0.416	29.6447	29.3919
0.417	29.1554	29.3071
0.418	29.2853	29.2993
0.419	31.4485	30.0693
0.42	31.1119	30.4428
0.421	29.5	30.1051
0.422	29.3981	29.8518
0.423	29.9809	29.898
0.424	31.1525	30.3474
0.425	30.1967	30.2935
0.426	30.4064	30.3339
0.427	31.795	30.8574
0.428	31.1893	30.9763
0.429	34.0293	32.07
0.43	30.9956	31.6851
0.431	30.7536	31.3514
0.432	31.3182	31.3395
0.433	29.0102	30.505
0.434	32.0253	31.0497
0.435	31.971	31.3797
0.436	31.7939	31.5281
0.437	31.6544	31.5734
0.438	32.0594	31.7475
0.439	31.7691	31.7552
0.44	32.0399	31.8572
0.441	33.1548	32.3221
0.442	32.2949	32.3123
0.443	33.6445	32.7896
0.444	33.1796	32.9293
0.445	34.1564	33.369
0.446	33.3098	33.3478
0.447	34.5574	33.7811
0.448	34.4844	34.0331
0.449	34.6949	34.2702
0.45	32.7876	33.739
0.451	34.4072	33.9784
0.452	34.8705	34.298
0.453	35.0627	34.572
0.454	34.7937	34.6514
0.455	35.1742	34.8387
0.456	36.6458	35.4861
0.457	37.1071	36.0668
0.458	35.0957	35.7189
0.459	34.5831	35.312
0.46	35.3556	35.3276
0.461	35.6984	35.4605
0.462	36.7983	35.9398
0.463	36.4469	36.1214
0.464	35.6812	35.9637
0.465	36.7271	36.2372
0.466	35.9863	36.1473
0.467	37.4542	36.6155
0.468	37.6096	36.9717
0.469	39.0141	37.7034
0.47	38.5653	38.0122
0.471	38.6571	38.2432
0.472	36.7011	37.6908
0.473	37.6495	37.676
0.474	36.4462	37.2354
0.475	35.3008	36.5423
0.476	39.7619	37.6958
0.477	37.5575	37.6462
0.478	38.9154	38.1009
0.479	40.2038	38.8543
0.48	40.0111	39.2687
0.481	40.783	39.8112
0.482	40.1969	39.9494
0.483	39.7127	39.8646
0.484	40.4397	40.0706
0.485	39.7459	39.9543
0.486	39.9082	39.9378
0.487	39.5291	39.7914
0.488	39.8828	39.8241
0.489	41.2123	40.3214
0.49	42.6977	41.1728
0.491	40.4696	40.9208
0.492	40.2642	40.6856
0.493	42.6662	41.3952
0.494	42.8168	41.9045
0.495	41.0714	41.606
0.496	43.1952	42.1753
0.497	44.5868	43.0393
0.498	40.4651	42.117
0.499	41.3177	41.8307
